Timestamp,Hour_of_Day,North_Cars,South_Cars,East_Cars,West_Cars,Queue_Length,Avg_Speed,Delta_Queue,Delta_Speed,Ped_Waiting,Max_Direction_Cars,Direction_Imbalance,Blocked_Cars,Blocked_to_Served_Ratio,Is_Anomaly_Ground_Truth
2024-11-19 22:00:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:05:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:10:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:15:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:20:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:25:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:30:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:35:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:40:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:45:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:50:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 22:55:00,0,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:00:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:05:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:10:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:15:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:20:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:25:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:30:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:35:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:40:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:45:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:50:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-19 23:55:00,1,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:00:00,2,1550,1580,450,600,800,5.00,800.0,0.0,26,1580,0.33,120,1.20,1
2024-11-20 00:05:00,2,150,180,30,40,0,65.00,-800.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:10:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:15:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:20:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:25:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:30:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:35:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:40:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:45:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:50:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 00:55:00,2,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:00:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:05:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:10:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:15:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:20:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:25:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:30:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:35:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:40:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:45:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:50:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 01:55:00,3,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:00:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:05:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:10:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:15:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:20:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:25:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:30:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:35:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:40:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:45:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:50:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 02:55:00,4,150,180,30,40,0,65.00,0.0,0.0,0,180,0.33,0,0.00,0
2024-11-20 03:00:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:05:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:10:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:15:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:20:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:25:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:30:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:35:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:40:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:45:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:50:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 03:55:00,5,125,155,23,30,0,80.00,0.0,0.0,0,155,0.33,0,0.00,0
2024-11-20 04:00:00,6,650,680,180,240,200,30.00,200.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:05:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:10:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:15:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:20:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:25:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:30:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:35:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
2024-11-20 04:40:00,6,650,680,180,240,200,30.00,0.0,0.0,6,680,0.33,30,0.30,0
